date,country,E1_contagio,E2_tend_contagio,E3_presion_hosp,E4_tend_hosp,E5_restriccion,E6_tend_socioec,E7_preocupacion,A1_work,A2_school,A3_ptrans,A4_conf
2020-07-31,GB,0.02174,-0.1564799999999999,0.0444444444444444,0.0021734125339595,64.35,0.0,0.8714285714285714,2.0,3.0,1.0,1.0
2020-08-01,GB,0.18421,0.16247,0.0370072405470634,-0.0074372038973809,69.91,5.560000000000002,0.8753016894609815,2.0,3.0,1.0,1.0
2020-08-02,GB,0.125,-0.05921,0.0397868561278862,0.0027796155808227,69.91,0.0,0.888809946714032,2.0,3.0,1.0,1.0
2020-08-03,GB,0.12088,-0.0041199999999999,0.0416666666666665,0.0018798105387803,69.91,0.0,0.8974056603773585,2.0,3.0,1.0,1.0
2020-08-04,GB,0.29167,0.17079,0.0372943327239487,-0.0043723339427177,69.91,0.0,0.8738574040219378,2.0,3.0,1.0,1.0
2020-08-05,GB,0.08696,-0.20471,0.0425696594427243,0.0052753267187756,69.91,0.0,0.8823529411764706,2.0,3.0,1.0,1.0
2020-08-06,GB,0.30435,0.21739,0.0394685423993746,-0.0031011170433496,69.91,0.0,0.8663540445486518,2.0,3.0,1.0,1.0
2020-08-07,GB,0.125,-0.17935,0.0503978779840848,0.0109293355847101,69.91,0.0,0.8762157382847038,2.0,3.0,1.0,1.0
2020-08-08,GB,0.05556,-0.06944,0.0388888888888888,-0.011508989095196,69.91,0.0,0.8782051282051282,2.0,3.0,1.0,1.0
2020-08-09,GB,0.125,0.06944,0.0420969023034153,0.0032080134145264,69.91,0.0,0.8931691818903892,2.0,3.0,1.0,1.0
2020-08-10,GB,0.08696,-0.03804,0.0409309791332262,-0.001165923170189,69.91,0.0,0.8912520064205457,2.0,3.0,1.0,1.0
2020-08-11,GB,0.08696,0.0,0.0496842105263157,0.0087532313930894,69.91,0.0,0.8829473684210526,2.0,3.0,1.0,1.0
2020-08-12,GB,0.11268,0.02572,0.0492239467849223,-0.0004602637413933,69.91,0.0,0.8656319290465632,2.0,3.0,1.0,1.0
2020-08-13,GB,0.125,0.0123199999999999,0.0490451388888888,-0.0001788078960335,66.2,-3.7099999999999937,0.8763020833333334,2.0,2.0,1.0,1.0
2020-08-14,GB,0.125,0.0,0.0395994538006371,-0.0094456850882516,66.2,0.0,0.8652708238507055,2.0,2.0,1.0,1.0
2020-08-15,GB,0.11268,-0.0123199999999999,0.0351999999999999,-0.0043994538006372,66.2,0.0,0.8768,2.0,2.0,1.0,1.0
2020-08-16,GB,0.125,0.0123199999999999,0.0435193945127719,0.008319394512772,66.2,0.0,0.8874172185430463,2.0,2.0,1.0,1.0
2020-08-17,GB,0.125,0.0,0.0355086372360843,-0.0080107572766875,66.2,0.0,0.8857965451055663,2.0,2.0,1.0,1.0
2020-08-18,GB,0.46154,0.33654,0.0407955124936256,0.0052868752575412,66.2,0.0,0.8827129015808262,2.0,2.0,1.0,1.0
2020-08-19,GB,0.125,-0.33654,0.0465807730426164,0.0057852605489908,66.2,0.0,0.8701684836471755,2.0,2.0,1.0,1.0
2020-08-20,GB,0.03676,-0.08824,0.0494011976047903,0.0028204245621738,66.2,0.0,0.8707584830339321,2.0,2.0,1.0,1.0
2020-08-21,GB,0.29167,0.2549099999999999,0.0461847389558231,-0.0032164586489671,66.2,0.0,0.8679718875502008,2.0,2.0,1.0,1.0
2020-08-22,GB,0.11268,-0.1789899999999999,0.039167079821517,-0.0070176591343061,66.2,0.0,0.8720872583044125,2.0,2.0,1.0,1.0
2020-08-23,GB,0.06452,-0.04816,0.039714413208389,0.0005473333868719,66.2,0.0,0.8955823293172691,2.0,2.0,1.0,1.0
2020-08-24,GB,0.08696,0.02244,0.0429744084983099,0.0032599952899209,66.2,0.0,0.8942539835828103,2.0,2.0,1.0,1.0
