estado,"a0=(0, 0, 0, 0)","a1=(0, 0, 0, 1)","a2=(0, 0, 0, 2)","a3=(0, 0, 1, 0)","a4=(0, 0, 1, 1)","a5=(0, 0, 1, 2)","a6=(0, 0, 2, 0)","a7=(0, 0, 2, 1)","a8=(0, 0, 2, 2)","a9=(0, 1, 0, 0)","a10=(0, 1, 0, 1)","a11=(0, 1, 0, 2)","a12=(0, 1, 1, 0)","a13=(0, 1, 1, 1)","a14=(0, 1, 1, 2)","a15=(0, 1, 2, 0)","a16=(0, 1, 2, 1)","a17=(0, 1, 2, 2)","a18=(0, 2, 0, 0)","a19=(0, 2, 0, 1)","a20=(0, 2, 0, 2)","a21=(0, 2, 1, 0)","a22=(0, 2, 1, 1)","a23=(0, 2, 1, 2)","a24=(0, 2, 2, 0)","a25=(0, 2, 2, 1)","a26=(0, 2, 2, 2)","a27=(1, 0, 0, 0)","a28=(1, 0, 0, 1)","a29=(1, 0, 0, 2)","a30=(1, 0, 1, 0)","a31=(1, 0, 1, 1)","a32=(1, 0, 1, 2)","a33=(1, 0, 2, 0)","a34=(1, 0, 2, 1)","a35=(1, 0, 2, 2)","a36=(1, 1, 0, 0)","a37=(1, 1, 0, 1)","a38=(1, 1, 0, 2)","a39=(1, 1, 1, 0)","a40=(1, 1, 1, 1)","a41=(1, 1, 1, 2)","a42=(1, 1, 2, 0)","a43=(1, 1, 2, 1)","a44=(1, 1, 2, 2)","a45=(1, 2, 0, 0)","a46=(1, 2, 0, 1)","a47=(1, 2, 0, 2)","a48=(1, 2, 1, 0)","a49=(1, 2, 1, 1)","a50=(1, 2, 1, 2)","a51=(1, 2, 2, 0)","a52=(1, 2, 2, 1)","a53=(1, 2, 2, 2)","a54=(2, 0, 0, 0)","a55=(2, 0, 0, 1)","a56=(2, 0, 0, 2)","a57=(2, 0, 1, 0)","a58=(2, 0, 1, 1)","a59=(2, 0, 1, 2)","a60=(2, 0, 2, 0)","a61=(2, 0, 2, 1)","a62=(2, 0, 2, 2)","a63=(2, 1, 0, 0)","a64=(2, 1, 0, 1)","a65=(2, 1, 0, 2)","a66=(2, 1, 1, 0)","a67=(2, 1, 1, 1)","a68=(2, 1, 1, 2)","a69=(2, 1, 2, 0)","a70=(2, 1, 2, 1)","a71=(2, 1, 2, 2)","a72=(2, 2, 0, 0)","a73=(2, 2, 0, 1)","a74=(2, 2, 0, 2)","a75=(2, 2, 1, 0)","a76=(2, 2, 1, 1)","a77=(2, 2, 1, 2)","a78=(2, 2, 2, 0)","a79=(2, 2, 2, 1)","a80=(2, 2, 2, 2)"
c=M dc=+ h=B dh=0 L=A dL=+ preo=B,6.8242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3247,0.0000,0.0000,0.0000,0.0000,0.0000,14.6926,0.0000,5.7075,0.0000,10.4657,0.0000,0.0000,0.0000,0.0000,0.0000,6.2527,0.0000,0.0000,-0.2871,0.0000,0.0000,6.8344,0.0000,7.4862,0.0000,0.0000,0.0000,0.0000,12.4484,6.8945,3.1858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5892,0.0000,0.0000,0.0000,7.9505,0.0000,7.7042,0.0000,6.5259,0.0000,0.0000,10.5550,0.0000,0.0000,7.7293,6.4927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9019,0.0000,7.2163,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=0 L=A dL=+ preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=0 L=A dL=+ preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=- preo=B,11.2674,13.8630,14.3210,14.1671,14.3303,13.7163,13.8876,14.3929,14.4326,13.6555,14.1003,14.7341,13.6917,14.2218,14.5630,14.3799,14.5089,15.4890,14.2400,14.0703,15.0450,14.3165,14.7106,15.1529,14.6423,15.1676,15.5528,13.9537,13.9588,14.9609,14.0050,14.0946,14.6230,14.3858,14.7692,15.4446,14.2776,14.3809,14.8417,14.3250,14.8533,15.3639,14.1188,15.0532,16.2533,14.1645,14.8627,15.3483,13.8749,15.1147,16.2988,14.8021,16.2047,16.3956,14.3356,14.1245,14.7959,14.3704,14.8841,15.6593,14.3426,14.6041,15.6480,14.1095,14.7427,16.0662,14.2803,14.7536,16.3886,15.0531,16.4976,16.5715,14.3867,15.7409,16.4821,15.0299,16.7900,16.8373,15.8586,16.6477,16.9203
c=M dc=+ h=B dh=+ L=B dL=- preo=M,2.5010,6.6123,7.1145,0.0000,0.0000,0.0000,0.0000,2.2997,0.0000,7.6606,3.3016,0.0000,0.0911,0.0000,4.0961,-0.1368,0.0000,0.0000,0.0000,0.0000,-0.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0171,0.0000,0.0000,0.0000,0.0000,5.8345,-0.1592,6.0542,0.0000,0.0000,0.0000,5.0687,3.7643,0.0000,0.0000,0.0000,5.8089,5.6253,0.0000,5.2362,4.3966,3.0881,0.0000,4.8679,0.0000,5.6862,0.0000,0.0000,0.0000,0.0000,-0.1696,0.0000,4.6933,0.0000,5.4618,0.0000,0.0000,9.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1106,0.0000,-0.0989,13.3551,0.0000,0.0000,0.0000,4.9686,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=- preo=A,-0.2113,0.0000,2.8359,3.2199,0.0000,0.0000,0.0000,3.0314,2.0923,0.0000,0.0000,0.0000,-0.1468,1.4396,2.3586,5.3829,2.3096,2.7414,1.1716,0.0000,0.0000,0.0000,0.0000,-0.0761,0.0000,0.0000,1.8795,2.8406,0.0000,0.0000,3.3035,0.0000,2.8198,2.9081,0.0000,0.0000,-0.1663,0.0000,3.4804,0.0000,-0.1793,0.0000,3.4286,4.6278,0.0000,0.0000,0.0000,1.7242,3.6688,0.0000,0.0000,0.0000,-0.0720,3.8250,0.0000,-0.1055,3.0061,0.0000,0.0000,-0.1398,0.0000,3.7481,3.0013,4.5711,6.8271,0.0000,2.4527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9789,0.0000,2.7147,0.0000,0.0000,0.0000,0.0000,2.8841
c=M dc=+ h=B dh=+ L=B dL=0 preo=B,4.5369,6.7852,6.8024,0.0000,7.5849,6.8312,0.0000,-0.1976,0.0000,6.7578,0.0000,10.5942,0.0000,7.1250,0.0000,7.1125,0.0000,4.6515,3.2563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1659,7.7401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8069,0.0000,14.9854,6.4601,2.8283,0.0000,0.0000,0.0000,0.0000,1.7672,0.0000,0.0000,0.0000,6.9600,13.5574,0.0000,7.1976,7.3739,0.0000,11.3982,7.7317,7.6919,0.0254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7335,0.0000,0.0000,0.0000,7.1516,0.0000,0.0000,0.0000,0.0000,3.9928,7.3471,8.4543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=0 preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1147,0.0000,14.6568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.7133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1342,0.0000,0.0000,0.0000,-0.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4230,0.0000,0.0000,0.0000,0.0000,-0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=+ preo=B,10.4292,7.8166,9.2228,7.1731,6.0862,13.0274,10.0904,8.4785,5.6540,0.0000,5.2348,10.4214,6.9242,10.4797,0.0000,10.7756,0.0000,10.2843,9.5233,4.1522,6.8683,7.2312,13.5766,11.1983,0.0000,6.8539,0.0000,11.3858,6.4865,7.5071,7.0530,10.1776,7.0379,14.0417,12.6593,11.8917,10.4308,10.3023,11.6822,12.4905,9.5482,0.0000,5.1216,0.0000,0.0000,0.0000,11.9817,9.3653,0.0000,11.4001,15.5503,13.4906,0.0000,11.7210,5.1896,0.0000,0.0000,12.1628,3.4908,6.8445,10.0104,10.2445,4.0834,0.0000,5.7330,10.6857,9.6909,10.5761,10.7211,6.8854,12.7408,7.6828,9.5170,0.0000,16.2552,11.3501,15.5134,7.8461,0.0000,11.6264,14.4500
c=M dc=+ h=B dh=+ L=B dL=+ preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=B dL=+ preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1736,0.0000,0.0000,-0.1814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0643,0.0000,0.0000,3.0354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=- preo=B,5.9708,7.1574,13.3237,7.1837,7.3418,7.2596,7.3628,10.9490,7.5161,6.4457,5.0971,0.0000,9.3079,0.0000,11.0475,10.8619,7.7336,3.1857,0.0000,0.0000,0.0000,12.8341,7.7354,7.1824,10.2379,6.7509,7.2736,7.1440,4.8838,0.0000,0.0000,7.0920,0.0000,9.4107,10.8764,11.3129,10.9442,14.8584,0.0000,0.0000,6.3187,5.1573,0.0000,3.7260,7.9947,12.0618,3.7057,10.5389,10.8435,7.5285,8.7763,10.6852,11.9736,9.6259,0.0000,10.7086,11.8534,0.0000,10.3708,0.0000,0.0000,5.1480,9.9711,7.2101,7.2874,10.8516,6.3484,8.3371,0.0000,12.1678,13.0527,5.4197,7.5915,0.0000,0.0000,0.0000,5.5898,16.6974,5.7969,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=- preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6486,0.0000,0.0000,7.5220,0.0000,0.0000,0.0000,0.0000,0.0000,6.8322,0.0000,0.0000,0.0000,0.0000,4.1054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=- preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3240,0.0000,0.0000,-0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=0 preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4299,-0.1993,0.0000,0.0000,0.0000,-0.2471,6.9641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9730,4.0608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3766,0.0000,0.0000,7.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7946,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=0 preo=M,0.0000,0.0000,0.0000,0.0000,-0.1907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=+ preo=B,7.3049,6.7218,12.8886,0.0000,9.5784,3.5444,7.0121,10.3223,0.0000,13.1588,0.0000,11.7914,12.5264,11.6634,0.0000,11.5395,9.5988,0.0000,7.4060,7.9906,7.0308,6.9668,12.3025,0.0000,11.4248,9.8478,11.6117,14.1581,0.0000,-0.2235,7.2502,13.2873,0.0000,7.7122,7.5979,13.1062,7.7122,12.5646,12.4625,13.4411,7.5330,14.3745,13.5009,4.0825,7.9968,13.7741,13.0436,11.9953,12.7211,10.2138,7.7863,6.6466,0.0000,7.6215,11.3648,11.9216,6.6109,7.5886,10.4155,0.0000,7.5070,6.7106,8.3060,11.4055,13.5178,0.0000,10.8051,0.0000,7.5119,0.0000,0.0000,0.0000,11.2697,0.0000,14.3340,13.0780,0.0000,13.3682,7.7140,16.6064,12.3610
c=M dc=+ h=B dh=+ L=M dL=+ preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=M dL=+ preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5910,0.0000,-0.0647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1799,0.0000,0.0000,0.0000,0.0000,2.3782,-0.1727,0.0000,0.0000,0.0000,0.0000,0.0000,3.0979,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=- preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=- preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1080,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=- preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=0 preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=0 preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=M dc=+ h=B dh=+ L=A dL=+ preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2725,0.0000,7.7671,0.0000,0.0000,0.0000,5.0322,3.3490,0.0000,6.2170,0.0000,0.0000,0.0000,7.4197,0.0000,0.0000,8.8787,7.1706,0.0000,0.0000,-0.2078,0.0000,0.0000,0.0000,0.0000,6.6542,0.0000,2.7589,0.0000,7.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7787,0.0000,0.0000,0.0000,6.0821,0.0000,0.0000,0.0000,0.0000,0.0000,15.7243,0.0000,0.0000,6.7342,0.0000,0.0000,7.9953,0.0000,0.0000,0.0000,0.0000,6.3888,0.0000,0.0000,0.7256,8.0982,0.0000,0.0000,0.0000,0.0000,0.0000,2.7887,7.5771,2.5627,0.0000,0.0000,0.0000,7.5331
c=M dc=+ h=B dh=+ L=A dL=+ preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3179,0.0000,0.0000,0.0000,0.0000,0.0000
