episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
210,104.9300,95.8981,113.9619,0.728418,0.700010,0.756825
211,102.3005,92.5805,112.0206,0.728731,0.698453,0.759008
212,92.3187,80.7929,103.8446,0.750266,0.719309,0.781222
213,101.6715,93.5024,109.8406,0.742641,0.710080,0.775203
214,102.4997,93.6857,111.3137,0.718999,0.692653,0.745345
215,94.9994,85.3371,104.6618,0.733124,0.698782,0.767466
216,106.1862,96.7053,115.6672,0.732898,0.705180,0.760616
217,103.1151,92.2335,113.9966,0.743890,0.713731,0.774049
218,108.8143,97.5502,120.0784,0.702115,0.671468,0.732761
219,104.9511,95.2866,114.6157,0.737858,0.706578,0.769139
220,108.3520,99.2208,117.4833,0.712557,0.677839,0.747275
221,103.2172,94.5333,111.9012,0.753750,0.720175,0.787325
222,101.2032,90.8638,111.5427,0.733650,0.696975,0.770325
223,101.9353,91.4606,112.4101,0.726520,0.698446,0.754594
224,111.4464,104.0687,118.8241,0.709866,0.684056,0.735675
225,112.3524,103.2136,121.4911,0.706308,0.677898,0.734717
226,108.4813,98.4506,118.5120,0.723704,0.692119,0.755289
227,103.8076,93.7379,113.8773,0.741092,0.709385,0.772799
228,95.0792,84.8631,105.2953,0.738779,0.705677,0.771881
229,102.6658,91.7162,113.6155,0.746529,0.715557,0.777501
230,101.1289,91.2927,110.9651,0.732857,0.703671,0.762043
231,100.1461,91.4158,108.8764,0.727689,0.699401,0.755977
232,104.2104,94.6860,113.7349,0.709955,0.681138,0.738771
233,106.7766,96.9378,116.6154,0.709751,0.678564,0.740938
234,95.6545,85.5796,105.7294,0.742161,0.711993,0.772328
235,112.3954,102.7041,122.0867,0.716578,0.688361,0.744795
236,109.8692,98.8560,120.8823,0.715679,0.691510,0.739848
237,107.8471,100.3502,115.3440,0.722113,0.697537,0.746688
238,101.0381,89.0089,113.0673,0.729443,0.698929,0.759956
239,95.5652,86.3305,104.7999,0.724290,0.693932,0.754647
240,111.3876,99.7377,123.0374,0.719481,0.688330,0.750631
241,103.0280,94.7019,111.3541,0.735290,0.709062,0.761518
242,99.4922,91.5775,107.4070,0.741264,0.707804,0.774723
243,106.1380,96.3685,115.9076,0.710625,0.677174,0.744076
244,103.3731,93.3039,113.4423,0.733983,0.704067,0.763899
245,98.5957,87.9506,109.2409,0.745891,0.707444,0.784337
246,107.1021,98.6673,115.5368,0.720936,0.694290,0.747582
247,97.1007,86.6208,107.5806,0.738413,0.710655,0.766170
248,110.8742,98.9793,122.7690,0.723123,0.691293,0.754953
249,105.3352,96.4643,114.2061,0.717305,0.689676,0.744934
250,107.6021,98.7354,116.4688,0.726692,0.699098,0.754286
251,105.5871,97.1716,114.0025,0.733807,0.708399,0.759215
252,111.9895,103.0381,120.9408,0.714357,0.689891,0.738824
253,109.0274,100.7330,117.3218,0.728323,0.697725,0.758921
254,108.1059,97.2366,118.9751,0.716965,0.686647,0.747283
255,100.0512,91.5073,108.5952,0.720800,0.690019,0.751582
256,101.1200,93.2802,108.9598,0.716907,0.692436,0.741379
257,110.1294,99.0126,121.2461,0.741320,0.712512,0.770128
258,109.2954,100.2757,118.3151,0.725191,0.694142,0.756241
259,106.5370,97.1488,115.9252,0.729041,0.701914,0.756168
260,108.6536,100.1329,117.1743,0.730947,0.704243,0.757651
261,100.9534,91.0220,110.8849,0.744815,0.716631,0.772999
262,104.4482,96.1336,112.7627,0.720264,0.691050,0.749477
263,108.6054,101.0725,116.1383,0.698739,0.668443,0.729035
264,104.6725,93.6492,115.6958,0.715745,0.683687,0.747802
265,113.9262,103.7001,124.1523,0.731665,0.697705,0.765626
266,104.4621,94.6175,114.3068,0.732821,0.704734,0.760907
267,111.7270,101.5696,121.8844,0.728912,0.702975,0.754850
268,107.5250,97.6374,117.4125,0.727917,0.696187,0.759646
269,104.5354,93.8422,115.2286,0.719153,0.685885,0.752420
270,106.7299,97.7671,115.6928,0.724635,0.691939,0.757332
271,97.6757,87.9699,107.3816,0.713235,0.686716,0.739754
272,106.9748,98.5310,115.4185,0.729565,0.700561,0.758569
273,107.1904,97.6465,116.7343,0.711981,0.682152,0.741810
274,98.6951,86.7403,110.6498,0.720213,0.690077,0.750350
275,107.5534,97.5743,117.5326,0.724479,0.692128,0.756830
276,106.4593,97.7591,115.1595,0.700016,0.670173,0.729859
277,103.5280,92.5576,114.4985,0.716660,0.684968,0.748353
278,105.3165,95.1407,115.4923,0.727385,0.696861,0.757909
279,109.9421,99.8701,120.0141,0.729799,0.699612,0.759986
280,106.1276,95.5702,116.6850,0.707980,0.676862,0.739099
281,104.5696,95.1000,114.0391,0.717248,0.693325,0.741171
282,106.9075,97.2735,116.5414,0.738530,0.698874,0.778187
283,106.7388,97.8036,115.6741,0.712465,0.687825,0.737105
284,99.0410,87.4455,110.6365,0.717995,0.687752,0.748237
285,112.8399,103.0479,122.6318,0.698589,0.677024,0.720154
286,106.1705,95.3639,116.9772,0.715276,0.683019,0.747532
287,115.3236,106.9305,123.7166,0.719326,0.694204,0.744448
288,107.5797,98.0921,117.0672,0.732964,0.710292,0.755635
289,107.0343,96.9287,117.1398,0.723282,0.694121,0.752444
290,110.0102,99.9525,120.0679,0.723832,0.692849,0.754814
291,109.1878,97.5330,120.8427,0.725156,0.697816,0.752497
292,108.1301,99.4601,116.8001,0.730265,0.700823,0.759706
293,112.1769,102.5304,121.8234,0.738134,0.713235,0.763032
294,114.8187,105.3840,124.2534,0.721792,0.694671,0.748912
295,115.8284,105.6789,125.9779,0.728163,0.699348,0.756977
296,109.1259,98.5734,119.6785,0.762631,0.734563,0.790698
297,106.8445,96.9047,116.7843,0.713419,0.692149,0.734688
298,93.6915,86.3196,101.0633,0.734966,0.698256,0.771677
299,105.7050,92.7983,118.6117,0.726315,0.699839,0.752791
300,114.8535,104.1106,125.5964,0.722125,0.693085,0.751165
301,106.1117,98.3703,113.8530,0.745168,0.718627,0.771709
302,98.9260,87.8064,110.0455,0.734468,0.703298,0.765638
303,113.9313,104.4885,123.3741,0.741008,0.713209,0.768808
304,111.6594,101.3906,121.9283,0.738320,0.707348,0.769292
305,105.9257,96.9325,114.9188,0.723439,0.699363,0.747515
306,111.7219,103.4536,119.9903,0.728128,0.699907,0.756348
307,113.6828,104.8798,122.4857,0.746308,0.715710,0.776906
308,111.2187,100.1533,122.2841,0.737294,0.708400,0.766188
309,108.3775,97.3520,119.4030,0.699479,0.674861,0.724096
310,112.7541,102.4481,123.0601,0.721952,0.698440,0.745464
311,112.1364,102.6647,121.6081,0.729675,0.701776,0.757575
312,111.2498,102.0596,120.4400,0.749395,0.717996,0.780793
313,107.9764,97.9343,118.0184,0.742407,0.713705,0.771108
314,115.0813,104.0582,126.1045,0.718704,0.686946,0.750461
315,105.7340,94.2145,117.2535,0.739139,0.704676,0.773601
316,105.4824,94.0350,116.9298,0.748991,0.724308,0.773673
317,112.6213,103.7290,121.5137,0.731704,0.698011,0.765397
318,116.9253,107.8266,126.0240,0.732572,0.702503,0.762640
319,110.3581,100.7192,119.9971,0.741226,0.704655,0.777796
320,115.0081,106.1633,123.8529,0.726708,0.700963,0.752454
321,108.5663,97.2613,119.8714,0.734106,0.708580,0.759632
