episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
226,99.9597,0.3363,5.1589,0.0200,0.689032
227,80.0484,0.3406,5.2356,0.0200,0.873480
228,114.8301,0.3128,5.1288,0.0200,0.585122
229,109.0427,0.3328,5.2274,0.0200,0.617262
230,133.9154,0.3307,5.1096,0.0200,0.454858
231,122.8797,0.3274,5.2219,0.0200,0.593356
232,80.1753,0.3452,5.1123,0.0200,0.618720
233,57.0183,0.3318,5.1699,0.0200,0.721912
234,86.2585,0.3367,5.2192,0.0200,0.670526
235,134.0908,0.3244,5.1671,0.0200,0.587600
236,109.3205,0.3154,5.1342,0.0200,0.574881
237,103.6487,0.3429,5.2055,0.0200,0.652161
238,87.5118,0.3407,5.2438,0.0200,0.569457
239,97.5480,0.3359,5.0575,0.0200,0.625245
240,100.9540,0.3365,5.1342,0.0200,0.669624
241,52.9201,0.3389,5.1890,0.0200,0.733110
242,80.2081,0.3328,5.2082,0.0200,0.658823
243,96.9270,0.3328,5.0986,0.0200,0.712084
244,120.7487,0.3302,5.0986,0.0200,0.609487
245,111.9109,0.3414,5.2274,0.0200,0.609361
246,138.8570,0.3222,5.1288,0.0200,0.669751
247,145.7036,0.3247,5.1644,0.0200,0.657945
248,117.5534,0.3166,5.0932,0.0200,0.697668
249,128.1039,0.3303,5.1041,0.0200,0.741304
250,91.4590,0.3224,4.9863,0.0200,0.619637
251,82.8175,0.3372,5.1178,0.0200,0.659945
252,131.3918,0.3324,5.1425,0.0200,0.586809
253,131.4387,0.3172,5.1205,0.0200,0.618775
254,127.8105,0.3220,5.1562,0.0200,0.771033
255,96.5312,0.3358,5.1425,0.0200,0.588187
256,113.0657,0.3134,5.1781,0.0200,0.695921
257,156.0662,0.3343,5.1425,0.0200,0.667402
258,70.7730,0.3386,5.2712,0.0200,0.765687
259,137.7619,0.3260,5.0603,0.0200,0.611665
260,67.8073,0.3483,5.0329,0.0200,0.724570
261,75.1954,0.3493,5.0137,0.0200,0.640760
262,125.8555,0.3363,5.1534,0.0200,0.664489
263,80.1879,0.3383,5.1616,0.0200,0.666438
264,148.9303,0.3170,5.0247,0.0200,0.614836
265,95.9118,0.3369,5.0521,0.0200,0.728983
266,111.8814,0.3359,5.0795,0.0200,0.578677
267,118.7852,0.3211,5.1863,0.0200,0.582260
268,124.1197,0.3184,5.1068,0.0200,0.672434
269,115.0524,0.3346,5.0795,0.0200,0.570417
270,117.0518,0.3256,5.1699,0.0200,0.575655
271,96.9034,0.3346,5.2082,0.0200,0.666215
272,98.1655,0.3293,5.1562,0.0200,0.738645
273,59.4376,0.3572,5.1014,0.0200,0.553405
274,71.1571,0.3426,5.0493,0.0200,0.655758
275,69.5180,0.3364,5.1041,0.0200,0.659465
276,88.8847,0.3282,5.1370,0.0200,0.495230
277,109.9545,0.3487,5.3178,0.0200,0.649322
278,117.0738,0.3213,5.0822,0.0200,0.603153
279,53.4131,0.3539,5.1425,0.0200,0.733136
280,123.3772,0.3351,5.2000,0.0200,0.678703
281,100.2603,0.3425,5.0795,0.0200,0.702935
282,105.2386,0.3341,5.1726,0.0200,0.555140
283,118.8306,0.3384,5.0712,0.0200,0.531595
284,108.4827,0.3283,5.1808,0.0200,0.529992
285,89.3558,0.3430,5.1425,0.0200,0.666152
286,87.4708,0.3433,5.0356,0.0200,0.653101
287,105.8089,0.3347,5.1589,0.0200,0.781320
288,124.6546,0.3018,5.0904,0.0200,0.809486
289,112.8858,0.3120,5.2082,0.0200,0.686559
290,119.1659,0.3243,5.1233,0.0200,0.711702
291,147.2861,0.3220,5.0192,0.0200,0.577672
292,126.8487,0.3283,5.1479,0.0200,0.639472
293,89.5664,0.3155,5.1205,0.0200,0.679027
294,90.4375,0.3365,5.1205,0.0200,0.650841
295,123.8362,0.3461,5.1836,0.0200,0.629861
296,111.4363,0.3401,5.1507,0.0200,0.663417
297,94.7761,0.3353,5.1041,0.0200,0.558539
298,77.6168,0.3492,5.0219,0.0200,0.589520
299,120.1588,0.3258,5.1233,0.0200,0.648784
300,80.7230,0.3315,5.1315,0.0200,0.714349
301,127.3344,0.3285,5.1151,0.0200,0.608511
302,94.5124,0.3330,5.2274,0.0200,0.644675
303,120.1522,0.3172,5.2192,0.0200,0.545440
304,128.6150,0.3269,5.0301,0.0200,0.506368
305,96.5547,0.3368,5.0438,0.0200,0.701928
306,106.4035,0.3383,5.1014,0.0200,0.610463
307,145.0244,0.3330,5.1836,0.0200,0.694811
308,104.2889,0.3437,5.2274,0.0200,0.714961
309,101.1208,0.3238,5.1562,0.0200,0.569928
310,113.4743,0.3363,5.1205,0.0200,0.671728
311,106.3600,0.3424,5.1425,0.0200,0.612228
312,112.2448,0.3318,5.0247,0.0200,0.577136
313,50.9016,0.3401,5.1644,0.0200,0.541502
314,84.3953,0.3414,5.2493,0.0200,0.617644
315,92.4677,0.3402,5.1096,0.0200,0.666642
316,120.3630,0.3261,5.1342,0.0200,0.636982
317,132.6166,0.3098,5.0658,0.0200,0.587752
318,93.4843,0.3262,5.1452,0.0200,0.640682
319,105.1932,0.3309,5.2219,0.0200,0.597855
320,151.1781,0.3273,5.0822,0.0200,0.582928
321,86.4334,0.3334,5.2630,0.0200,0.643277
322,162.3776,0.3283,5.0575,0.0200,0.550937
323,138.2910,0.3225,5.1233,0.0200,0.528149
324,79.1527,0.3378,5.1342,0.0200,0.550082
325,91.1679,0.3364,5.2603,0.0200,0.642851
326,101.6919,0.3362,5.1808,0.0200,0.674996
327,114.6396,0.3176,5.1836,0.0200,0.624635
328,89.1260,0.3393,5.1425,0.0200,0.597775
