estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=M dc=0 h=A dh=0 L=M dL=- preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Medio (baja); cumplimiento Alto,emergencia,178,"(2, 2, 0, 2)",0.1788,8.0,"(1, 2, 1, 2)",0.0395,8.0,"(2, 0, 1, 1)",0.0377,5.0
c=M dc=0 h=A dh=0 L=M dL=0 preo=B,contagio Medio (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Bajo,emergencia,18,"(2, 2, 2, 1)",0.9978,8.0,"(0, 2, 1, 0)",0.0000,3.0,"(0, 2, 1, 1)",0.0000,5.0
c=M dc=0 h=A dh=0 L=M dL=0 preo=M,contagio Medio (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Medio,emergencia,2,"(2, 2, 2, 0)",0.6253,6.0,"(2, 2, 2, 2)",0.0047,10.0,"(1, 0, 0, 2)",0.0047,5.0
c=M dc=0 h=A dh=0 L=M dL=0 preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Medio (estable); cumplimiento Alto,emergencia,49,"(2, 2, 0, 1)",0.2348,6.0,"(1, 0, 0, 1)",0.0496,3.0,"(0, 0, 2, 1)",0.0129,4.0
c=M dc=0 h=A dh=0 L=M dL=+ preo=B,contagio Medio (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Bajo,emergencia,61,"(2, 0, 0, 1)",0.9663,4.0,"(0, 2, 1, 0)",0.0034,3.0,"(1, 1, 1, 0)",0.0004,3.0
c=M dc=0 h=A dh=0 L=M dL=+ preo=M,contagio Medio (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Medio,emergencia,78,"(2, 2, 0, 2)",0.9957,8.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 0, 2)",0.0001,5.0
c=M dc=0 h=A dh=0 L=M dL=+ preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Alto,emergencia,109,"(2, 2, 0, 0)",0.2043,4.0,"(2, 0, 0, 1)",0.0477,4.0,"(0, 1, 2, 1)",0.0113,5.0
c=M dc=0 h=A dh=0 L=A dL=- preo=B,contagio Medio (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Bajo,emergencia,23,"(1, 2, 0, 2)",0.9685,7.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 0, 0, 2)",0.0004,5.0
c=M dc=0 h=A dh=0 L=A dL=- preo=M,contagio Medio (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Medio,emergencia,13,"(0, 0, 1, 1)",0.8606,3.0,"(2, 2, 2, 2)",0.0017,10.0,"(1, 0, 1, 0)",0.0017,2.0
c=M dc=0 h=A dh=0 L=A dL=- preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Alto,emergencia,68,"(0, 1, 0, 2)",0.1121,5.0,"(0, 1, 1, 1)",0.0290,4.0,"(1, 2, 0, 2)",0.0255,7.0
c=M dc=0 h=A dh=0 L=A dL=0 preo=B,contagio Medio (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Bajo,emergencia,18,"(1, 0, 1, 1)",0.9960,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=0 h=A dh=0 L=A dL=0 preo=M,contagio Medio (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Medio,emergencia,4,"(2, 1, 0, 1)",0.9365,5.0,"(2, 2, 2, 2)",0.0008,10.0,"(1, 0, 0, 1)",0.0008,3.0
c=M dc=0 h=A dh=0 L=A dL=0 preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Alto,emergencia,34,"(2, 1, 0, 0)",0.0390,3.0,"(2, 2, 2, 2)",0.0125,10.0,"(1, 0, 1, 1)",0.0125,4.0
c=M dc=0 h=A dh=0 L=A dL=+ preo=B,contagio Medio (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Bajo,emergencia,95,"(1, 2, 1, 2)",0.8567,8.0,"(0, 0, 1, 0)",0.1359,1.0,"(2, 2, 2, 2)",0.0001,10.0
c=M dc=0 h=A dh=0 L=A dL=+ preo=M,contagio Medio (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Medio,emergencia,54,"(2, 1, 0, 1)",0.9026,5.0,"(2, 2, 2, 2)",0.0012,10.0,"(0, 2, 0, 2)",0.0012,6.0
c=M dc=0 h=A dh=0 L=A dL=+ preo=A,contagio Medio (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Alto,emergencia,138,"(2, 2, 2, 1)",0.2457,8.0,"(1, 2, 2, 1)",0.0567,7.0,"(0, 2, 0, 0)",0.0134,2.0
c=M dc=0 h=A dh=+ L=B dL=- preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Bajo,emergencia,85,"(2, 2, 1, 2)",0.9987,9.0,"(1, 2, 0, 1)",0.0005,5.0,"(1, 0, 2, 2)",0.0001,7.0
c=M dc=0 h=A dh=+ L=B dL=- preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Medio,emergencia,438,"(2, 0, 2, 1)",0.8335,6.0,"(0, 1, 1, 2)",0.0329,6.0,"(2, 2, 2, 1)",0.0230,8.0
c=M dc=0 h=A dh=+ L=B dL=- preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Alto,emergencia,347,"(2, 1, 0, 2)",0.1142,7.0,"(2, 2, 0, 1)",0.0393,6.0,"(1, 2, 0, 1)",0.0350,5.0
c=M dc=0 h=A dh=+ L=B dL=0 preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Bajo,emergencia,3,"(1, 1, 1, 1)",0.9668,5.0,"(1, 1, 1, 0)",0.0004,3.0,"(0, 2, 1, 0)",0.0004,3.0
c=M dc=0 h=A dh=+ L=B dL=0 preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Medio,emergencia,3,"(1, 0, 2, 2)",0.9838,7.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 0, 0, 1)",0.0002,3.0
c=M dc=0 h=A dh=+ L=B dL=0 preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Alto,emergencia,17,"(2, 1, 2, 2)",0.1026,9.0,"(2, 2, 2, 2)",0.0117,10.0,"(1, 0, 1, 0)",0.0117,2.0
c=M dc=0 h=A dh=+ L=B dL=+ preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Bajo,emergencia,8,"(2, 2, 1, 1)",0.9970,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=0 h=A dh=+ L=B dL=+ preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Medio,emergencia,4,"(2, 1, 2, 0)",0.7727,5.0,"(2, 2, 2, 2)",0.0029,10.0,"(0, 2, 0, 1)",0.0029,4.0
c=M dc=0 h=A dh=+ L=B dL=+ preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Alto,emergencia,16,"(2, 2, 2, 2)",0.0130,10.0,"(1, 0, 0, 2)",0.0130,5.0,"(0, 2, 1, 1)",0.0130,5.0
c=M dc=0 h=A dh=+ L=M dL=- preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Bajo,emergencia,148,"(2, 2, 2, 1)",0.9891,8.0,"(0, 0, 0, 2)",0.0080,4.0,"(2, 0, 0, 1)",0.0004,4.0
c=M dc=0 h=A dh=+ L=M dL=- preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Medio,emergencia,336,"(2, 1, 1, 2)",0.9533,8.0,"(1, 2, 1, 1)",0.0129,6.0,"(0, 2, 1, 0)",0.0045,3.0
c=M dc=0 h=A dh=+ L=M dL=- preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Alto,emergencia,256,"(2, 2, 2, 2)",0.1535,10.0,"(2, 0, 1, 2)",0.0390,7.0,"(2, 1, 0, 2)",0.0338,7.0
c=M dc=0 h=A dh=+ L=M dL=0 preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Bajo,emergencia,7,"(2, 1, 1, 2)",0.9990,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=0 h=A dh=+ L=M dL=0 preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Medio,emergencia,17,"(2, 0, 1, 1)",0.8744,5.0,"(2, 2, 2, 2)",0.0016,10.0,"(1, 1, 1, 0)",0.0016,3.0
c=M dc=0 h=A dh=+ L=M dL=0 preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Alto,emergencia,39,"(2, 1, 2, 1)",0.0944,7.0,"(2, 2, 2, 2)",0.0126,10.0,"(0, 2, 1, 2)",0.0126,7.0
c=M dc=0 h=A dh=+ L=M dL=+ preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Bajo,emergencia,54,"(1, 0, 2, 2)",0.9890,7.0,"(0, 1, 0, 1)",0.0106,3.0,"(0, 0, 2, 1)",0.0000,4.0
c=M dc=0 h=A dh=+ L=M dL=+ preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Medio,emergencia,148,"(2, 2, 2, 2)",0.9920,10.0,"(0, 1, 1, 1)",0.0019,4.0,"(0, 2, 0, 2)",0.0012,6.0
c=M dc=0 h=A dh=+ L=M dL=+ preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Alto,emergencia,145,"(0, 2, 1, 2)",0.1192,7.0,"(1, 0, 1, 1)",0.0305,4.0,"(0, 2, 1, 0)",0.0155,3.0
c=M dc=0 h=A dh=+ L=A dL=- preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Bajo,emergencia,76,"(2, 0, 1, 2)",0.9371,7.0,"(2, 2, 1, 0)",0.0133,5.0,"(2, 2, 2, 2)",0.0006,10.0
c=M dc=0 h=A dh=+ L=A dL=- preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Medio,emergencia,38,"(1, 0, 2, 1)",0.3591,5.0,"(1, 1, 0, 0)",0.2797,2.0,"(2, 1, 2, 0)",0.0694,5.0
c=M dc=0 h=A dh=+ L=A dL=- preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Alto,emergencia,108,"(2, 0, 0, 2)",0.1311,6.0,"(1, 0, 2, 2)",0.0430,7.0,"(1, 1, 0, 1)",0.0229,4.0
c=M dc=0 h=A dh=+ L=A dL=0 preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Alto (estable); cumplimiento Bajo,emergencia,40,"(2, 2, 2, 0)",0.9895,6.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 0, 2)",0.0001,5.0
c=M dc=0 h=A dh=+ L=A dL=0 preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Alto (estable); cumplimiento Medio,emergencia,18,"(1, 2, 1, 2)",0.2820,8.0,"(2, 1, 0, 2)",0.2103,7.0,"(1, 1, 2, 0)",0.0132,4.0
c=M dc=0 h=A dh=+ L=A dL=0 preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Alto (estable); cumplimiento Alto,emergencia,55,"(1, 2, 2, 2)",0.0911,9.0,"(0, 0, 2, 2)",0.0296,6.0,"(2, 2, 2, 2)",0.0116,10.0
c=M dc=0 h=A dh=+ L=A dL=+ preo=B,contagio Medio (estable); hospital Alto (sube); restriccion Alto (sube); cumplimiento Bajo,emergencia,65,"(1, 2, 2, 2)",0.9990,9.0,"(0, 2, 1, 0)",0.0007,3.0,"(1, 2, 0, 2)",0.0001,7.0
c=M dc=0 h=A dh=+ L=A dL=+ preo=M,contagio Medio (estable); hospital Alto (sube); restriccion Alto (sube); cumplimiento Medio,emergencia,93,"(1, 0, 0, 2)",0.3150,5.0,"(2, 0, 2, 2)",0.2095,8.0,"(2, 0, 0, 2)",0.1182,6.0
c=M dc=0 h=A dh=+ L=A dL=+ preo=A,contagio Medio (estable); hospital Alto (sube); restriccion Alto (sube); cumplimiento Alto,emergencia,138,"(1, 1, 1, 1)",0.1410,5.0,"(0, 2, 0, 1)",0.0147,4.0,"(0, 0, 0, 1)",0.0115,2.0
c=M dc=+ h=B dh=- L=B dL=- preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,1660887,"(2, 2, 2, 2)",0.0618,10.0,"(2, 2, 2, 1)",0.0542,8.0,"(2, 2, 1, 2)",0.0540,9.0
c=M dc=+ h=B dh=- L=B dL=- preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,3524,"(2, 2, 2, 1)",0.9216,8.0,"(2, 0, 2, 0)",0.0181,4.0,"(0, 1, 0, 0)",0.0150,1.0
c=M dc=+ h=B dh=- L=B dL=- preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,427,"(0, 2, 0, 1)",0.8288,4.0,"(2, 2, 0, 0)",0.1192,4.0,"(2, 2, 1, 1)",0.0109,7.0
c=M dc=+ h=B dh=- L=B dL=0 preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,2103,"(2, 1, 2, 2)",0.9726,9.0,"(1, 2, 0, 0)",0.0171,3.0,"(2, 0, 1, 2)",0.0047,7.0
c=M dc=+ h=B dh=- L=B dL=0 preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,797,"(0, 1, 2, 1)",0.9730,5.0,"(1, 2, 2, 2)",0.0150,9.0,"(0, 2, 2, 0)",0.0032,4.0
c=M dc=+ h=B dh=- L=B dL=0 preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,83,"(1, 0, 0, 1)",0.9791,3.0,"(0, 0, 1, 2)",0.0036,5.0,"(2, 2, 2, 2)",0.0002,10.0
c=M dc=+ h=B dh=- L=B dL=+ preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,10473,"(2, 2, 0, 2)",0.2615,8.0,"(2, 0, 2, 2)",0.1804,8.0,"(2, 1, 2, 1)",0.1040,7.0
c=M dc=+ h=B dh=- L=B dL=+ preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,358,"(1, 2, 0, 2)",0.9975,7.0,"(1, 2, 1, 0)",0.0008,4.0,"(1, 0, 0, 0)",0.0007,1.0
c=M dc=+ h=B dh=- L=B dL=+ preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,146,"(2, 1, 0, 1)",0.9590,5.0,"(2, 0, 0, 2)",0.0117,6.0,"(1, 1, 1, 0)",0.0069,3.0
c=M dc=+ h=B dh=- L=M dL=- preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Bajo,prop_rapida,5976,"(2, 2, 1, 1)",0.6428,7.0,"(1, 1, 1, 2)",0.0847,7.0,"(1, 1, 2, 2)",0.0685,8.0
c=M dc=+ h=B dh=- L=M dL=- preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Medio,prop_rapida,697,"(2, 1, 1, 1)",0.9882,6.0,"(0, 1, 0, 1)",0.0028,3.0,"(0, 1, 0, 2)",0.0024,5.0
c=M dc=+ h=B dh=- L=M dL=- preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Alto,prop_rapida,4,"(1, 0, 1, 2)",0.9833,6.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 0, 0, 1)",0.0002,3.0
c=M dc=+ h=B dh=- L=M dL=0 preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Bajo,prop_rapida,391,"(2, 2, 2, 2)",0.9959,10.0,"(2, 2, 2, 0)",0.0038,6.0,"(0, 1, 0, 0)",0.0001,1.0
c=M dc=+ h=B dh=- L=M dL=0 preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Medio,prop_rapida,60,"(2, 1, 2, 2)",0.9999,9.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=+ h=B dh=- L=M dL=0 preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Alto,prop_rapida,1,"(2, 2, 2, 2)",0.0124,10.0,"(2, 2, 2, 1)",0.0124,8.0,"(0, 2, 1, 0)",0.0124,3.0
c=M dc=+ h=B dh=- L=M dL=+ preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Bajo,prop_rapida,9232,"(2, 2, 2, 1)",0.3071,8.0,"(2, 2, 1, 1)",0.1436,7.0,"(0, 2, 2, 1)",0.0804,6.0
c=M dc=+ h=B dh=- L=M dL=+ preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Medio,prop_rapida,528,"(0, 2, 2, 0)",0.9688,4.0,"(1, 0, 2, 1)",0.0127,5.0,"(1, 0, 2, 0)",0.0088,3.0
c=M dc=+ h=B dh=- L=M dL=+ preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Alto,prop_rapida,54,"(1, 0, 2, 0)",0.4455,3.0,"(0, 1, 0, 0)",0.3688,1.0,"(1, 1, 2, 2)",0.0994,8.0
c=M dc=+ h=B dh=- L=A dL=- preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Bajo,prop_rapida,213,"(0, 2, 1, 2)",0.9991,7.0,"(0, 0, 1, 0)",0.0004,1.0,"(0, 2, 0, 1)",0.0003,4.0
c=M dc=+ h=B dh=- L=A dL=- preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Medio,prop_rapida,1,"(1, 2, 0, 0)",0.7374,3.0,"(2, 2, 2, 2)",0.0033,10.0,"(1, 0, 0, 2)",0.0033,5.0
c=M dc=+ h=B dh=- L=A dL=- preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=- L=A dL=0 preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Bajo,prop_rapida,52,"(0, 0, 0, 0)",0.9998,0.0,"(2, 1, 2, 1)",0.0002,7.0,"(1, 1, 0, 1)",0.0000,4.0
c=M dc=+ h=B dh=- L=A dL=0 preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Medio,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=- L=A dL=0 preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=- L=A dL=+ preo=B,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Bajo,prop_rapida,2300,"(0, 2, 2, 0)",0.8253,4.0,"(2, 2, 1, 0)",0.0924,5.0,"(1, 0, 1, 2)",0.0204,6.0
c=M dc=+ h=B dh=- L=A dL=+ preo=M,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Medio,prop_rapida,51,"(2, 2, 1, 1)",0.9977,7.0,"(2, 0, 1, 1)",0.0019,5.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=+ h=B dh=- L=A dL=+ preo=A,contagio Medio (sube); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Alto,prop_rapida,3,"(1, 2, 1, 0)",0.9874,4.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 0, 0, 2)",0.0002,5.0
c=M dc=+ h=B dh=0 L=B dL=- preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,1012387,"(2, 2, 2, 2)",0.0692,10.0,"(2, 2, 1, 2)",0.0543,9.0,"(1, 2, 2, 2)",0.0492,9.0
c=M dc=+ h=B dh=0 L=B dL=- preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,996,"(1, 1, 1, 1)",0.8748,5.0,"(0, 1, 0, 2)",0.0678,5.0,"(0, 1, 2, 2)",0.0235,7.0
c=M dc=+ h=B dh=0 L=B dL=- preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,222,"(2, 2, 2, 0)",0.9187,6.0,"(0, 2, 0, 2)",0.0583,6.0,"(2, 2, 2, 2)",0.0061,10.0
c=M dc=+ h=B dh=0 L=B dL=0 preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,923,"(2, 2, 2, 0)",0.9985,6.0,"(2, 0, 2, 2)",0.0002,8.0,"(2, 2, 0, 2)",0.0002,8.0
c=M dc=+ h=B dh=0 L=B dL=0 preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,35,"(1, 1, 2, 1)",0.9995,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=+ h=B dh=0 L=B dL=0 preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,45,"(2, 0, 1, 2)",0.9722,7.0,"(2, 2, 1, 2)",0.0157,9.0,"(1, 0, 0, 0)",0.0019,1.0
c=M dc=+ h=B dh=0 L=B dL=+ preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,4840,"(1, 2, 0, 2)",0.4420,7.0,"(2, 2, 1, 0)",0.1328,5.0,"(1, 0, 2, 1)",0.1288,5.0
c=M dc=+ h=B dh=0 L=B dL=+ preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,52,"(1, 0, 0, 2)",0.9989,5.0,"(1, 0, 0, 0)",0.0007,1.0,"(1, 1, 1, 0)",0.0000,3.0
c=M dc=+ h=B dh=0 L=B dL=+ preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,49,"(2, 1, 1, 2)",0.9802,8.0,"(0, 1, 0, 0)",0.0029,1.0,"(0, 0, 0, 1)",0.0006,2.0
c=M dc=+ h=B dh=0 L=M dL=- preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Bajo,prop_rapida,3252,"(1, 2, 2, 1)",0.9384,7.0,"(2, 2, 2, 2)",0.0304,10.0,"(2, 0, 1, 0)",0.0080,3.0
c=M dc=+ h=B dh=0 L=M dL=- preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Medio,prop_rapida,269,"(1, 1, 1, 0)",0.9910,3.0,"(2, 1, 1, 1)",0.0024,6.0,"(1, 0, 0, 1)",0.0024,3.0
c=M dc=+ h=B dh=0 L=M dL=- preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Alto,prop_rapida,4,"(1, 0, 1, 2)",0.9336,6.0,"(2, 2, 2, 2)",0.0008,10.0,"(1, 0, 0, 1)",0.0008,3.0
c=M dc=+ h=B dh=0 L=M dL=0 preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Bajo,prop_rapida,123,"(1, 2, 2, 0)",0.9997,5.0,"(1, 1, 1, 1)",0.0003,5.0,"(0, 2, 0, 2)",0.0000,6.0
c=M dc=+ h=B dh=0 L=M dL=0 preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Medio,prop_rapida,19,"(1, 1, 0, 1)",0.9998,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=+ h=B dh=0 L=M dL=0 preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=0 L=M dL=+ preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Bajo,prop_rapida,3857,"(2, 1, 2, 1)",0.6304,7.0,"(2, 2, 2, 2)",0.0865,10.0,"(2, 0, 2, 2)",0.0769,8.0
c=M dc=+ h=B dh=0 L=M dL=+ preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Medio,prop_rapida,122,"(1, 1, 2, 2)",0.9984,8.0,"(2, 2, 2, 2)",0.0014,10.0,"(0, 1, 1, 0)",0.0001,2.0
c=M dc=+ h=B dh=0 L=M dL=+ preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Alto,prop_rapida,23,"(1, 2, 2, 2)",0.9146,9.0,"(2, 2, 0, 1)",0.0314,6.0,"(2, 2, 2, 2)",0.0007,10.0
c=M dc=+ h=B dh=0 L=A dL=- preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Bajo,prop_rapida,102,"(0, 2, 2, 2)",0.9989,8.0,"(2, 0, 0, 0)",0.0005,2.0,"(1, 1, 2, 1)",0.0003,6.0
c=M dc=+ h=B dh=0 L=A dL=- preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Medio,prop_rapida,1,"(1, 0, 0, 0)",0.4711,1.0,"(2, 2, 2, 2)",0.0066,10.0,"(1, 1, 1, 0)",0.0066,3.0
c=M dc=+ h=B dh=0 L=A dL=- preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=0 L=A dL=0 preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Bajo,prop_rapida,32,"(0, 0, 1, 0)",0.9999,1.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=+ h=B dh=0 L=A dL=0 preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Medio,prop_rapida,1,"(0, 0, 0, 1)",0.7022,2.0,"(2, 2, 2, 2)",0.0037,10.0,"(1, 0, 0, 2)",0.0037,5.0
c=M dc=+ h=B dh=0 L=A dL=0 preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
