estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=0 h=A dh=- L=B dL=+ preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Alto,emergencia,389,"(1, 2, 2, 2)",0.4323,9.0,"(1, 2, 0, 2)",0.0585,7.0,"(1, 0, 0, 2)",0.0459,5.0
c=B dc=0 h=A dh=- L=M dL=- preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (baja); cumplimiento Bajo,emergencia,1360,"(1, 0, 0, 0)",0.7748,1.0,"(1, 1, 0, 2)",0.0690,6.0,"(1, 2, 1, 2)",0.0493,8.0
c=B dc=0 h=A dh=- L=M dL=- preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (baja); cumplimiento Medio,emergencia,5568,"(2, 2, 2, 2)",0.2963,10.0,"(1, 1, 2, 2)",0.1695,8.0,"(1, 2, 2, 0)",0.0971,5.0
c=B dc=0 h=A dh=- L=M dL=- preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (baja); cumplimiento Alto,emergencia,14947,"(2, 2, 2, 0)",0.0209,6.0,"(2, 0, 0, 2)",0.0191,6.0,"(1, 2, 1, 0)",0.0183,4.0
c=B dc=0 h=A dh=- L=M dL=0 preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (estable); cumplimiento Bajo,emergencia,82,"(0, 0, 0, 2)",0.9976,4.0,"(1, 2, 2, 1)",0.0015,7.0,"(2, 0, 2, 1)",0.0006,6.0
c=B dc=0 h=A dh=- L=M dL=0 preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (estable); cumplimiento Medio,emergencia,739,"(0, 1, 1, 1)",0.9284,4.0,"(1, 1, 1, 0)",0.0233,3.0,"(2, 1, 2, 2)",0.0196,9.0
c=B dc=0 h=A dh=- L=M dL=0 preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (estable); cumplimiento Alto,emergencia,5314,"(2, 1, 2, 1)",0.0677,7.0,"(0, 2, 0, 2)",0.0408,6.0,"(0, 1, 0, 1)",0.0408,3.0
c=B dc=0 h=A dh=- L=M dL=+ preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (sube); cumplimiento Bajo,emergencia,427,"(2, 1, 1, 0)",0.9899,4.0,"(0, 2, 1, 2)",0.0050,7.0,"(2, 1, 1, 1)",0.0014,6.0
c=B dc=0 h=A dh=- L=M dL=+ preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (sube); cumplimiento Medio,emergencia,590,"(2, 0, 0, 0)",0.9660,2.0,"(1, 2, 1, 2)",0.0081,8.0,"(2, 1, 2, 0)",0.0055,5.0
c=B dc=0 h=A dh=- L=M dL=+ preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Medio (sube); cumplimiento Alto,emergencia,2325,"(1, 0, 2, 2)",0.2180,7.0,"(2, 2, 2, 2)",0.0955,10.0,"(1, 0, 1, 1)",0.0697,4.0
