alpha0,episodio,retorno,td
0.5,17982,253.70,0.5165
0.5,18315,256.71,0.5141
0.5,18648,258.18,0.5129
0.5,18981,257.97,0.5117
0.5,19314,256.38,0.5134
0.5,19647,256.21,0.5165
0.5,19980,256.46,0.5108
0.5,20313,259.44,0.5087
0.5,20646,254.46,0.5079
0.5,20979,258.51,0.4966
0.5,21312,260.93,0.5217
0.5,21645,269.24,0.4667
0.5,21978,252.93,0.5124
0.5,22311,255.32,0.5583
0.5,22644,261.91,0.5069
0.5,22977,259.50,0.5027
0.5,23310,254.49,0.4923
0.5,23643,259.57,0.4983
0.5,23976,262.82,0.4807
0.5,24309,262.17,0.4798
0.5,24642,259.24,0.5003
0.5,24975,260.14,0.4769
0.5,25308,264.45,0.4732
0.5,25641,257.40,0.4876
0.5,25974,268.35,0.4576
0.5,26307,263.79,0.4704
0.5,26640,255.07,0.4960
0.5,26973,264.08,0.4773
0.5,27306,259.83,0.4833
0.5,27639,270.31,0.4846
0.5,27972,259.80,0.4973
0.5,28305,262.83,0.4865
0.5,28638,261.04,0.4838
0.5,28971,258.20,0.5069
0.5,29304,264.21,0.4870
0.5,29637,266.19,0.4753
0.5,29970,269.92,0.4641
0.5,30303,268.91,0.4767
0.5,30636,266.34,0.4632
0.5,30969,260.58,0.4812
0.5,31302,261.98,0.4698
0.5,31635,268.47,0.4623
0.5,31968,267.27,0.4554
0.5,32301,270.40,0.4382
0.5,32634,264.77,0.4694
0.5,32967,262.89,0.4699
0.5,33300,268.51,0.4751
0.5,33633,266.15,0.4594
0.5,33966,262.70,0.4714
0.5,34299,266.32,0.4623
0.5,34632,263.46,0.4753
0.5,34965,270.97,0.4379
0.5,35298,268.32,0.4424
0.5,35631,268.12,0.4648
0.5,35964,265.95,0.4580
0.5,36297,266.51,0.4611
0.5,36630,263.68,0.4545
0.5,36963,269.31,0.4550
0.5,37296,264.36,0.4559
0.5,37629,275.69,0.4497
0.5,37962,273.34,0.4301
0.5,38295,276.83,0.4505
0.5,38628,270.21,0.4293
0.5,38961,266.00,0.4497
0.5,39294,268.64,0.4477
0.5,39627,270.90,0.4453
0.5,39960,264.39,0.4560
0.5,40293,272.13,0.4377
0.5,40626,271.42,0.4544
0.5,40959,273.01,0.4410
0.5,41292,267.82,0.4400
0.5,41625,265.28,0.4406
0.5,41958,274.92,0.4351
0.5,42291,267.88,0.4550
0.5,42624,269.24,0.4585
0.5,42957,272.20,0.4472
0.5,43290,273.23,0.4367
0.5,43623,272.43,0.4472
0.5,43956,271.46,0.4222
0.5,44289,268.14,0.4432
0.5,44622,274.59,0.4288
0.5,44955,274.80,0.4292
0.5,45288,279.00,0.4248
0.5,45621,264.70,0.4582
0.5,45954,273.22,0.4465
0.5,46287,272.27,0.4216
0.5,46620,272.33,0.4313
0.5,46953,270.39,0.4411
0.5,47286,278.68,0.4168
0.5,47619,264.31,0.4352
0.5,47952,270.70,0.4339
0.5,48285,270.20,0.4274
0.5,48618,272.97,0.4286
0.5,48951,281.22,0.4139
0.5,49284,271.00,0.4321
0.5,49617,268.50,0.4466
0.5,49950,276.02,0.4226
0.5,50283,274.80,0.4302
0.5,50616,276.73,0.4118
0.5,50949,261.96,0.4510
0.5,51282,278.65,0.4104
0.5,51615,275.08,0.4349
0.5,51948,271.66,0.4110
0.5,52281,267.61,0.4265
0.5,52614,272.61,0.4145
0.5,52947,268.28,0.4382
0.5,53280,273.17,0.4449
0.5,53613,277.76,0.4079
0.5,53946,275.33,0.4270
0.5,54279,276.09,0.4096
0.5,54612,276.92,0.4137
0.5,54945,275.80,0.3985
0.5,55278,276.00,0.4044
0.5,55611,272.68,0.4159
0.5,55944,273.62,0.4164
0.5,56277,277.21,0.4207
0.5,56610,271.88,0.4406
0.5,56943,281.50,0.3931
0.5,57276,275.29,0.4112
0.5,57609,276.24,0.3959
0.5,57942,269.47,0.4188
0.5,58275,264.76,0.4364
0.5,58608,280.07,0.3922
0.5,58941,274.93,0.4221
0.5,59274,275.22,0.4352
0.5,59607,273.36,0.4386
0.5,59940,269.50,0.4387
0.5,60273,270.51,0.4167
0.5,60606,272.17,0.4086
0.5,60939,281.28,0.4049
0.5,61272,279.18,0.4067
0.5,61605,277.92,0.3995
0.5,61938,270.54,0.4198
0.5,62271,275.26,0.4122
0.5,62604,278.78,0.4136
0.5,62937,272.36,0.4158
0.5,63270,277.38,0.4073
0.5,63603,276.90,0.4205
0.5,63936,275.77,0.4057
0.5,64269,281.06,0.4183
0.5,64602,276.88,0.4164
0.5,64935,280.95,0.4030
0.5,65268,275.31,0.4175
0.5,65601,282.69,0.4088
0.5,65934,274.42,0.4170
0.5,66267,279.20,0.4030
0.5,66600,285.04,0.3910
0.5,66933,275.10,0.4004
0.5,67266,269.29,0.4304
0.5,67599,273.48,0.4240
0.5,67932,276.15,0.4039
0.5,68265,279.28,0.3944
0.5,68598,275.15,0.4153
0.5,68931,270.69,0.4116
0.5,69264,275.22,0.4188
0.5,69597,276.02,0.3976
0.5,69930,280.27,0.4042
0.5,70263,278.36,0.3928
0.5,70596,273.57,0.4161
0.5,70929,279.05,0.4148
0.5,71262,275.28,0.4027
0.5,71595,276.07,0.4124
0.5,71928,277.13,0.4129
0.5,72261,275.42,0.4056
0.5,72594,280.45,0.3979
0.5,72927,277.63,0.4051
0.5,73260,289.95,0.3783
0.5,73593,280.07,0.3997
0.5,73926,284.54,0.3845
0.5,74259,274.61,0.4145
0.5,74592,272.26,0.4151
0.5,74925,276.57,0.4180
0.5,75258,277.54,0.3893
0.5,75591,272.13,0.4142
0.5,75924,280.25,0.3995
0.5,76257,283.89,0.3837
0.5,76590,277.54,0.4308
0.5,76923,276.94,0.3846
0.5,77256,280.61,0.3944
0.5,77589,277.64,0.4176
0.5,77922,277.19,0.4030
0.5,78255,274.81,0.4236
0.5,78588,276.71,0.4013
0.5,78921,279.47,0.3997
0.5,79254,276.78,0.4132
0.5,79587,282.57,0.3846
0.5,79920,281.44,0.3960
0.5,80253,281.45,0.3861
0.5,80586,281.22,0.4017
0.5,80919,278.11,0.3934
0.5,81252,280.12,0.3918
0.5,81585,280.01,0.3933
0.5,81918,276.78,0.3953
0.5,82251,284.72,0.3883
0.5,82584,276.07,0.4024
0.5,82917,281.28,0.3955
0.5,83250,275.37,0.3891
0.5,83583,278.70,0.4204
0.5,83916,280.85,0.3811
0.5,84249,279.15,0.3840
0.5,84582,272.47,0.4225
0.5,84915,278.07,0.3874
0.5,85248,285.50,0.3824
0.5,85581,284.21,0.3853
0.5,85914,270.22,0.4062
0.5,86247,279.49,0.3952
0.5,86580,275.87,0.4009
0.5,86913,279.59,0.3862
0.5,87246,271.87,0.4040
0.5,87579,283.17,0.3969
0.5,87912,282.68,0.3727
0.5,88245,276.44,0.4041
0.5,88578,274.03,0.3944
0.5,88911,273.45,0.4230
0.5,89244,278.57,0.3917
0.5,89577,283.61,0.3889
0.5,89910,272.24,0.4120
0.5,90243,279.48,0.3849
0.5,90576,273.41,0.4095
0.5,90909,289.35,0.3805
0.5,91242,280.23,0.3864
0.5,91575,276.47,0.4011
0.5,91908,284.79,0.3782
0.5,92241,278.52,0.4031
0.5,92574,279.18,0.3929
0.5,92907,280.27,0.3767
0.5,93240,269.34,0.4262
0.5,93573,281.34,0.3897
0.5,93906,279.93,0.3921
0.5,94239,280.59,0.3978
0.5,94572,278.44,0.3922
0.5,94905,277.81,0.3870
0.5,95238,277.49,0.4029
0.5,95571,280.11,0.3997
0.5,95904,289.23,0.3758
0.5,96237,282.31,0.3785
0.5,96570,279.34,0.3990
0.5,96903,278.94,0.4029
0.5,97236,278.62,0.3921
0.5,97569,271.54,0.4054
0.5,97902,284.94,0.3945
0.5,98235,276.64,0.4036
0.5,98568,288.60,0.3825
0.5,98901,276.43,0.4055
0.5,99234,285.48,0.3991
0.5,99567,274.53,0.3965
0.5,99900,275.44,0.4060
0.9,0,-118.57,0.5449
0.9,333,130.56,0.6935
0.9,666,156.43,0.6499
0.9,999,167.65,0.6372
0.9,1332,181.16,0.6244
0.9,1665,188.74,0.5903
0.9,1998,195.77,0.6089
0.9,2331,206.99,0.6022
0.9,2664,204.14,0.6211
0.9,2997,209.47,0.6275
0.9,3330,220.19,0.5792
0.9,3663,220.48,0.5744
0.9,3996,234.36,0.5616
0.9,4329,220.29,0.5728
0.9,4662,221.64,0.5588
0.9,4995,226.09,0.5769
0.9,5328,226.06,0.5893
0.9,5661,234.01,0.5497
0.9,5994,230.99,0.5409
0.9,6327,237.23,0.5533
0.9,6660,235.78,0.5536
0.9,6993,240.54,0.5372
0.9,7326,244.41,0.5359
0.9,7659,247.13,0.5196
0.9,7992,251.11,0.5412
0.9,8325,250.30,0.5200
0.9,8658,243.70,0.5215
0.9,8991,248.85,0.5504
0.9,9324,246.91,0.5492
0.9,9657,251.94,0.5194
0.9,9990,250.34,0.5299
0.9,10323,252.56,0.5208
0.9,10656,253.77,0.5024
0.9,10989,252.34,0.5156
0.9,11322,257.60,0.5050
0.9,11655,251.93,0.5067
0.9,11988,249.69,0.5266
0.9,12321,251.23,0.5107
0.9,12654,251.48,0.5146
0.9,12987,254.51,0.5230
0.9,13320,255.50,0.4879
0.9,13653,250.57,0.5144
0.9,13986,253.07,0.5077
0.9,14319,253.78,0.5135
0.9,14652,254.56,0.5072
0.9,14985,258.54,0.4880
0.9,15318,255.53,0.5045
0.9,15651,264.19,0.4919
0.9,15984,257.80,0.5041
0.9,16317,255.48,0.5272
0.9,16650,259.06,0.4970
0.9,16983,260.09,0.4814
0.9,17316,254.71,0.4994
0.9,17649,259.56,0.4679
0.9,17982,266.89,0.4559
0.9,18315,268.26,0.4479
0.9,18648,258.68,0.4772
0.9,18981,257.55,0.4843
0.9,19314,256.96,0.4936
0.9,19647,258.83,0.4827
0.9,19980,264.62,0.4667
0.9,20313,258.08,0.4656
0.9,20646,267.60,0.4647
0.9,20979,266.13,0.4557
0.9,21312,260.53,0.4688
0.9,21645,258.86,0.4861
0.9,21978,262.52,0.4633
0.9,22311,263.23,0.4652
0.9,22644,260.98,0.4683
0.9,22977,257.30,0.4907
0.9,23310,260.16,0.4698
0.9,23643,271.35,0.4491
0.9,23976,265.30,0.4619
0.9,24309,270.64,0.4398
0.9,24642,268.68,0.4757
0.9,24975,266.29,0.4645
0.9,25308,269.07,0.4623
0.9,25641,264.89,0.4500
0.9,25974,264.73,0.4703
0.9,26307,269.72,0.4385
0.9,26640,271.51,0.4509
0.9,26973,259.46,0.4600
0.9,27306,265.57,0.4416
0.9,27639,270.42,0.4352
0.9,27972,267.09,0.4529
0.9,28305,262.39,0.4644
0.9,28638,266.13,0.4567
0.9,28971,260.51,0.4668
0.9,29304,273.20,0.4268
0.9,29637,274.06,0.4384
0.9,29970,269.51,0.4419
0.9,30303,269.45,0.4544
0.9,30636,268.06,0.4571
0.9,30969,269.46,0.4368
0.9,31302,268.23,0.4453
0.9,31635,274.79,0.4197
0.9,31968,272.50,0.4340
0.9,32301,267.96,0.4386
0.9,32634,266.70,0.4328
0.9,32967,268.89,0.4451
0.9,33300,272.64,0.4563
0.9,33633,271.99,0.4475
0.9,33966,266.43,0.4537
0.9,34299,275.79,0.4303
0.9,34632,271.52,0.4178
0.9,34965,274.94,0.4332
0.9,35298,273.05,0.4115
0.9,35631,269.63,0.4323
0.9,35964,274.53,0.4192
0.9,36297,274.69,0.4274
0.9,36630,277.24,0.4005
0.9,36963,273.15,0.4399
0.9,37296,271.99,0.4445
0.9,37629,270.14,0.4374
0.9,37962,275.60,0.4314
0.9,38295,266.25,0.4542
0.9,38628,270.67,0.4288
0.9,38961,278.04,0.4141
0.9,39294,272.04,0.4176
0.9,39627,275.08,0.4106
0.9,39960,278.14,0.4145
0.9,40293,275.07,0.4388
0.9,40626,270.59,0.4523
0.9,40959,275.12,0.4266
0.9,41292,276.34,0.4260
0.9,41625,277.96,0.4191
0.9,41958,275.51,0.4254
0.9,42291,274.72,0.4228
0.9,42624,273.72,0.4240
0.9,42957,271.67,0.4336
0.9,43290,279.27,0.4197
0.9,43623,273.69,0.4222
0.9,43956,273.77,0.4251
0.9,44289,265.81,0.4212
0.9,44622,275.70,0.4292
0.9,44955,276.62,0.4202
0.9,45288,273.09,0.4271
0.9,45621,267.69,0.4159
0.9,45954,276.33,0.3952
0.9,46287,275.25,0.4072
0.9,46620,268.76,0.4176
0.9,46953,272.96,0.4063
0.9,47286,276.72,0.4135
0.9,47619,273.89,0.4026
0.9,47952,279.01,0.4077
0.9,48285,276.73,0.4259
0.9,48618,271.55,0.4274
0.9,48951,270.44,0.4281
0.9,49284,275.11,0.4229
0.9,49617,279.83,0.4053
0.9,49950,275.33,0.4106
0.9,50283,277.16,0.4089
0.9,50616,279.81,0.4148
0.9,50949,267.71,0.4172
0.9,51282,277.21,0.4119
0.9,51615,284.73,0.3918
0.9,51948,281.50,0.3999
0.9,52281,270.41,0.4152
0.9,52614,272.69,0.4070
0.9,52947,266.25,0.4271
0.9,53280,271.96,0.4106
0.9,53613,275.41,0.4071
0.9,53946,284.59,0.4004
0.9,54279,275.36,0.4264
0.9,54612,276.57,0.4025
0.9,54945,270.67,0.4392
0.9,55278,275.71,0.4111
0.9,55611,279.58,0.3932
0.9,55944,274.86,0.4077
0.9,56277,272.84,0.4250
0.9,56610,276.42,0.4058
0.9,56943,275.94,0.3912
0.9,57276,282.63,0.4060
0.9,57609,284.96,0.4003
0.9,57942,275.33,0.4137
0.9,58275,281.29,0.4023
0.9,58608,274.30,0.4304
0.9,58941,277.04,0.3947
0.9,59274,275.53,0.4035
0.9,59607,276.53,0.3997
0.9,59940,279.52,0.3762
0.9,60273,277.34,0.4106
0.9,60606,281.55,0.4056
0.9,60939,278.19,0.4047
0.9,61272,281.48,0.3908
0.9,61605,274.37,0.4083
0.9,61938,273.46,0.3953
0.9,62271,276.27,0.4048
0.9,62604,275.98,0.4125
0.9,62937,276.20,0.4098
0.9,63270,273.77,0.4114
0.9,63603,283.39,0.3896
0.9,63936,280.61,0.3808
0.9,64269,277.86,0.3911
0.9,64602,275.85,0.3970
0.9,64935,280.47,0.4006
0.9,65268,275.52,0.4109
0.9,65601,278.04,0.3940
0.9,65934,272.80,0.4138
0.9,66267,277.61,0.3899
0.9,66600,269.37,0.4181
0.9,66933,282.05,0.3989
0.9,67266,269.89,0.4052
0.9,67599,272.05,0.4084
0.9,67932,287.62,0.3849
0.9,68265,273.34,0.4009
0.9,68598,277.90,0.3957
0.9,68931,272.33,0.4137
0.9,69264,281.07,0.3974
0.9,69597,275.27,0.3977
0.9,69930,279.63,0.3831
0.9,70263,283.04,0.3808
0.9,70596,280.68,0.4129
0.9,70929,274.45,0.3942
0.9,71262,281.33,0.3786
0.9,71595,272.85,0.4091
0.9,71928,277.59,0.3988
0.9,72261,277.71,0.4048
0.9,72594,286.89,0.3773
0.9,72927,278.75,0.4052
0.9,73260,280.69,0.3955
0.9,73593,282.03,0.3939
0.9,73926,282.48,0.3901
0.9,74259,282.46,0.3782
0.9,74592,280.18,0.3942
0.9,74925,279.96,0.3930
0.9,75258,268.97,0.4047
0.9,75591,277.73,0.3986
0.9,75924,275.80,0.3867
0.9,76257,283.14,0.4075
0.9,76590,284.97,0.3662
0.9,76923,279.59,0.3988
0.9,77256,285.50,0.3837
0.9,77589,278.33,0.4080
0.9,77922,285.49,0.3821
0.9,78255,284.42,0.3896
0.9,78588,280.42,0.3693
0.9,78921,278.02,0.3877
0.9,79254,276.19,0.4141
0.9,79587,281.16,0.3845
0.9,79920,280.75,0.3881
0.9,80253,280.00,0.3708
0.9,80586,282.41,0.3911
0.9,80919,277.94,0.3909
0.9,81252,279.71,0.3860
0.9,81585,287.58,0.3760
0.9,81918,277.98,0.3739
0.9,82251,272.74,0.3961
0.9,82584,285.74,0.3769
0.9,82917,271.92,0.4009
0.9,83250,279.80,0.3666
0.9,83583,281.38,0.3801
0.9,83916,281.76,0.3917
0.9,84249,284.77,0.3817
0.9,84582,276.64,0.3999
0.9,84915,278.95,0.3942
0.9,85248,285.15,0.3622
0.9,85581,277.13,0.3879
0.9,85914,274.33,0.3993
0.9,86247,280.70,0.3711
0.9,86580,287.07,0.3767
0.9,86913,281.98,0.3756
0.9,87246,281.23,0.3822
0.9,87579,282.74,0.3867
0.9,87912,275.35,0.3950
0.9,88245,283.39,0.3826
0.9,88578,281.55,0.3881
0.9,88911,278.07,0.3919
0.9,89244,280.42,0.4019
0.9,89577,286.90,0.3770
