episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
294,109.7295,101.9998,117.4592,0.749741,0.723832,0.775651
295,121.7436,113.5618,129.9253,0.735928,0.712875,0.758982
296,110.2710,101.7464,118.7957,0.761355,0.738092,0.784618
297,108.8894,101.3830,116.3957,0.730597,0.705918,0.755276
298,97.5733,90.8844,104.2622,0.740066,0.712768,0.767363
299,105.8017,97.2083,114.3952,0.729709,0.705713,0.753705
300,115.3206,106.9104,123.7308,0.736024,0.708668,0.763379
301,104.3079,97.3666,111.2492,0.747640,0.726090,0.769190
302,106.7811,98.4761,115.0861,0.749241,0.721779,0.776703
303,111.0786,103.5395,118.6178,0.743658,0.717871,0.769445
304,113.0270,105.8017,120.2524,0.748689,0.726905,0.770473
305,105.1448,97.9448,112.3448,0.742634,0.720768,0.764500
306,110.0740,103.1377,117.0103,0.732706,0.710145,0.755267
307,109.0090,102.1719,115.8461,0.743394,0.714084,0.772703
308,110.1065,102.0242,118.1887,0.737380,0.712741,0.762020
309,109.5210,101.5839,117.4582,0.721927,0.697219,0.746636
310,108.8581,100.7076,117.0086,0.725590,0.701333,0.749847
311,111.7768,103.9408,119.6128,0.733431,0.708088,0.758773
312,110.4882,103.4975,117.4789,0.744806,0.720716,0.768895
313,108.0977,100.1684,116.0271,0.738849,0.712227,0.765471
314,110.7440,101.7399,119.7481,0.738941,0.712117,0.765765
315,105.6805,96.8581,114.5028,0.749826,0.722451,0.777201
316,110.9516,102.5296,119.3737,0.745789,0.722289,0.769290
317,110.2883,103.6241,116.9525,0.747614,0.719482,0.775746
318,115.1414,107.6334,122.6494,0.754550,0.723034,0.786066
319,112.7205,104.4087,121.0322,0.738203,0.711027,0.765379
320,112.7059,106.0772,119.3345,0.740142,0.717775,0.762508
321,109.0157,100.6304,117.4011,0.744275,0.721143,0.767408
322,113.0301,105.0618,120.9984,0.735232,0.712970,0.757494
323,113.4350,104.9476,121.9224,0.753160,0.728859,0.777461
324,110.5277,103.5287,117.5267,0.732431,0.706355,0.758506
325,116.8520,109.5600,124.1441,0.759871,0.734872,0.784870
326,107.9854,99.7573,116.2135,0.751677,0.725542,0.777811
327,116.5001,108.7058,124.2945,0.736517,0.711762,0.761272
328,114.5300,107.5925,121.4675,0.730168,0.709559,0.750778
329,111.9438,104.2487,119.6390,0.744023,0.717826,0.770221
330,102.9860,95.4871,110.4848,0.731055,0.707804,0.754305
331,114.2921,106.7845,121.7998,0.731377,0.711979,0.750774
332,113.0253,104.4436,121.6070,0.737700,0.714131,0.761270
333,114.5538,108.0722,121.0353,0.732136,0.705163,0.759108
334,115.2933,106.9968,123.5898,0.739361,0.712330,0.766393
335,113.0373,106.0791,119.9955,0.745829,0.721100,0.770559
336,110.8433,102.3887,119.2978,0.741979,0.716489,0.767468
337,120.1986,113.2446,127.1527,0.726195,0.699584,0.752806
338,109.4203,101.4601,117.3805,0.734642,0.710706,0.758579
339,110.0573,102.0189,118.0957,0.744770,0.720396,0.769144
340,111.2163,103.8824,118.5503,0.730893,0.706833,0.754953
341,104.6557,96.5836,112.7279,0.736475,0.713432,0.759518
342,116.5055,108.8453,124.1656,0.733897,0.713309,0.754486
343,116.9311,109.2686,124.5937,0.716077,0.696988,0.735165
344,115.3619,107.8812,122.8427,0.718778,0.696151,0.741405
345,113.0120,104.8436,121.1804,0.723092,0.699078,0.747105
346,114.7649,107.9100,121.6198,0.734125,0.707335,0.760914
347,117.4930,108.9542,126.0317,0.738092,0.712710,0.763473
348,117.0377,108.7597,125.3157,0.720072,0.697789,0.742355
349,117.9461,110.1554,125.7368,0.716117,0.690968,0.741267
350,108.3564,100.5241,116.1886,0.761247,0.737352,0.785143
351,113.6700,105.2966,122.0434,0.728715,0.700260,0.757169
352,115.9151,107.4406,124.3896,0.745843,0.718432,0.773254
353,119.8138,112.6111,127.0164,0.736749,0.712625,0.760873
354,112.5408,105.9349,119.1467,0.727620,0.702822,0.752418
355,107.4103,99.0874,115.7332,0.740710,0.716491,0.764929
356,111.5933,104.6526,118.5340,0.731666,0.707107,0.756224
357,112.0533,104.2244,119.8823,0.750150,0.720921,0.779380
358,114.3656,107.6554,121.0758,0.739247,0.714075,0.764420
359,110.7275,102.6972,118.7579,0.736013,0.716308,0.755718
360,118.0827,111.3545,124.8108,0.735070,0.709828,0.760312
361,117.1632,110.3216,124.0048,0.738889,0.718917,0.758861
362,111.4146,103.9752,118.8541,0.739665,0.713361,0.765969
363,113.6777,106.0775,121.2778,0.735696,0.712712,0.758680
364,112.4810,103.8753,121.0866,0.743081,0.717232,0.768930
365,114.8999,107.2571,122.5427,0.724914,0.702221,0.747606
366,115.3465,107.5089,123.1841,0.742749,0.713757,0.771741
367,115.2458,107.0511,123.4404,0.736323,0.712495,0.760150
368,114.3322,107.9424,120.7220,0.731268,0.706870,0.755667
369,113.5489,106.3246,120.7732,0.734059,0.708125,0.759993
370,114.2274,106.6960,121.7587,0.738590,0.713974,0.763206
371,111.8024,104.6714,118.9334,0.750895,0.728366,0.773424
372,116.6239,110.0626,123.1851,0.737639,0.714516,0.760762
373,114.7628,106.2882,123.2375,0.748655,0.722496,0.774815
374,110.8185,103.9527,117.6842,0.720620,0.697201,0.744039
375,120.9299,113.4693,128.3905,0.728639,0.705787,0.751491
376,120.3771,112.7062,128.0479,0.724430,0.702135,0.746725
377,111.2701,104.2316,118.3086,0.748762,0.723297,0.774226
378,113.2483,107.1880,119.3086,0.731519,0.706818,0.756219
379,116.3578,110.2566,122.4590,0.734176,0.710910,0.757442
380,113.7522,107.3970,120.1075,0.742225,0.719073,0.765377
381,115.8717,109.6434,122.0999,0.741275,0.717073,0.765477
382,115.6507,108.9556,122.3458,0.728666,0.706279,0.751053
383,113.6227,106.0941,121.1514,0.724776,0.702088,0.747463
384,110.4897,102.9574,118.0219,0.738456,0.714778,0.762135
385,113.8192,106.2036,121.4348,0.743765,0.722605,0.764926
386,108.1520,99.7555,116.5484,0.747010,0.724718,0.769302
