alpha0,episodio,retorno_medio,td_medio
0.1,358,93.3960,0.756012
0.1,359,103.0990,0.716108
0.1,360,84.8268,0.729831
0.1,361,95.8692,0.732506
0.1,362,80.2938,0.734450
0.1,363,91.7831,0.721906
0.1,364,88.7437,0.747126
0.1,365,88.4905,0.713178
0.1,366,97.1633,0.728556
0.1,367,83.3474,0.719157
0.1,368,84.5654,0.740876
0.1,369,91.0307,0.728888
0.1,370,96.2758,0.732279
0.1,371,90.6180,0.745368
0.1,372,98.2997,0.738686
0.1,373,91.3022,0.715882
0.1,374,84.4220,0.704571
0.1,375,83.9109,0.741143
0.1,376,96.4674,0.733414
0.1,377,94.6808,0.744865
0.1,378,80.6253,0.734207
0.1,379,80.9635,0.737485
0.1,380,76.8978,0.730586
0.1,381,85.1915,0.718264
0.1,382,89.6423,0.719727
0.1,383,85.9856,0.715489
0.1,384,84.5252,0.726443
0.1,385,88.8928,0.738973
0.1,386,93.9233,0.717518
0.1,387,84.8628,0.729276
0.1,388,89.0083,0.713575
0.1,389,92.3285,0.731169
0.1,390,94.1358,0.707792
0.1,391,89.7622,0.723872
0.1,392,94.6964,0.729403
0.1,393,84.4600,0.719184
0.1,394,96.0646,0.711947
0.1,395,88.8386,0.744650
0.1,396,93.4853,0.725331
0.1,397,87.0733,0.718718
0.1,398,89.3818,0.733026
0.1,399,89.8103,0.725135
0.1,400,84.9473,0.725565
0.1,401,91.2241,0.738861
0.1,402,90.1643,0.739607
0.1,403,91.4401,0.713673
0.1,404,88.8484,0.715993
0.1,405,83.6668,0.740972
0.1,406,87.0741,0.715727
0.1,407,85.7912,0.740559
0.1,408,83.0992,0.723605
0.1,409,89.5015,0.729183
0.1,410,92.0504,0.743610
0.1,411,87.0058,0.733612
0.1,412,86.9647,0.718567
0.1,413,98.7235,0.706481
0.1,414,81.8677,0.749394
0.1,415,88.9917,0.746614
0.1,416,89.6603,0.728984
0.1,417,86.9074,0.734883
0.1,418,84.3653,0.737452
0.1,419,83.4618,0.750300
0.1,420,84.2068,0.734359
0.1,421,89.8798,0.734278
0.1,422,90.5293,0.722648
0.1,423,84.9004,0.731987
0.1,424,89.5424,0.726643
0.1,425,96.5934,0.738137
0.1,426,83.1953,0.746268
0.1,427,96.8760,0.725689
0.1,428,94.7991,0.742186
0.1,429,90.1439,0.726960
0.1,430,97.5071,0.727298
0.1,431,91.6813,0.747909
0.1,432,83.7367,0.728434
0.1,433,89.9394,0.725018
0.1,434,91.5062,0.723277
0.1,435,90.8457,0.722320
0.1,436,87.0835,0.737284
0.1,437,92.7773,0.710870
0.1,438,86.4123,0.726302
0.1,439,96.9545,0.708306
0.1,440,97.0561,0.731487
0.1,441,96.5471,0.725955
0.1,442,83.2458,0.734484
0.1,443,96.2194,0.711523
0.1,444,95.1846,0.719653
0.1,445,96.6720,0.725380
0.1,446,91.9108,0.730750
0.1,447,98.8983,0.722109
0.1,448,88.6269,0.740652
0.1,449,86.7809,0.724196
0.1,450,93.6685,0.728722
0.1,451,90.2396,0.738512
0.1,452,85.2720,0.705613
0.1,453,81.0396,0.726968
0.1,454,90.8817,0.739817
0.1,455,88.1242,0.717261
0.1,456,90.3093,0.719858
0.1,457,86.5309,0.723892
0.1,458,87.6825,0.722307
0.1,459,91.8096,0.719879
0.1,460,86.9216,0.735126
0.1,461,95.1161,0.724234
0.1,462,91.6510,0.731445
0.1,463,91.6901,0.707235
0.1,464,93.9643,0.722186
0.1,465,83.4611,0.735447
0.1,466,81.6311,0.720171
0.1,467,77.6601,0.723778
0.1,468,90.9266,0.715394
0.1,469,88.7471,0.737622
0.1,470,88.0248,0.767123
0.1,471,90.8002,0.731717
0.1,472,83.3170,0.752318
0.1,473,91.6728,0.693351
0.1,474,90.0657,0.730916
0.1,475,98.6053,0.717641
0.1,476,90.0647,0.719233
0.1,477,91.6985,0.725502
0.1,478,89.0816,0.742971
0.1,479,104.6451,0.732446
0.1,480,91.9807,0.728634
0.1,481,85.2813,0.737014
0.1,482,82.0356,0.747552
0.1,483,94.2956,0.722328
0.1,484,87.3593,0.726233
0.1,485,84.7821,0.722112
0.1,486,87.5545,0.742529
0.1,487,83.4551,0.755971
0.1,488,90.6677,0.728719
0.1,489,95.2062,0.719494
0.1,490,81.9726,0.741665
0.1,491,82.0748,0.747815
0.1,492,90.2577,0.727164
0.1,493,86.7320,0.713339
0.1,494,84.7482,0.715986
0.1,495,77.8609,0.720398
0.1,496,96.7635,0.754615
0.1,497,89.9118,0.729963
0.1,498,90.7878,0.712741
0.1,499,88.1287,0.715595
0.1,500,85.9928,0.732782
0.1,501,81.2295,0.730486
0.1,502,84.5086,0.747034
0.1,503,86.0649,0.709879
0.1,504,97.5440,0.757513
0.1,505,85.2714,0.739139
0.1,506,86.5860,0.736561
0.1,507,93.9186,0.712899
0.1,508,87.4943,0.735182
0.1,509,89.3893,0.733747
0.1,510,96.8215,0.751235
0.1,511,89.7962,0.727943
0.1,512,86.3943,0.723947
0.1,513,89.0334,0.716192
0.1,514,90.6377,0.733037
0.1,515,93.8461,0.712539
0.1,516,94.6993,0.743213
0.1,517,84.4842,0.733628
0.1,518,85.0003,0.725736
0.1,519,90.5399,0.705648
0.1,520,87.7869,0.729816
0.1,521,89.4012,0.724637
0.1,522,82.4996,0.748778
0.1,523,93.9240,0.730409
0.1,524,83.0927,0.749037
0.1,525,95.2021,0.745099
0.1,526,98.4277,0.734406
0.1,527,94.9123,0.728013
0.1,528,90.7432,0.728221
0.1,529,95.6018,0.741985
0.1,530,89.5539,0.727727
0.1,531,86.4137,0.729176
0.1,532,87.9691,0.719259
0.1,533,89.4258,0.737642
0.1,534,73.5771,0.729210
0.1,535,87.1298,0.715526
0.1,536,91.9840,0.721251
0.1,537,88.7076,0.720008
0.1,538,80.5160,0.729692
0.1,539,86.5923,0.736174
0.1,540,88.1445,0.728557
0.1,541,85.0032,0.741333
0.1,542,91.4420,0.727130
0.1,543,87.7461,0.735279
0.1,544,85.7343,0.713840
0.1,545,74.0918,0.725002
0.1,546,84.3130,0.705893
0.1,547,89.1789,0.744139
0.1,548,89.8077,0.731113
0.1,549,87.2287,0.715877
0.1,550,89.1378,0.730642
0.1,551,93.4506,0.718873
0.1,552,87.6088,0.714795
0.1,553,93.6126,0.732571
0.1,554,91.7760,0.753107
0.1,555,88.1574,0.741995
0.1,556,92.2771,0.729877
0.1,557,87.0947,0.714780
0.1,558,88.4469,0.736019
0.1,559,81.6046,0.738132
0.1,560,90.5843,0.696537
0.1,561,93.8556,0.755370
0.1,562,97.1751,0.712326
0.1,563,85.7501,0.706778
0.1,564,88.3736,0.700298
0.1,565,82.6377,0.717568
0.1,566,85.2455,0.689051
0.1,567,81.9970,0.726063
0.1,568,83.2053,0.730256
0.1,569,84.6863,0.713109
0.1,570,98.0495,0.732787
0.1,571,88.5413,0.720684
0.1,572,86.5761,0.729189
0.1,573,83.4641,0.702591
0.1,574,89.4851,0.718734
0.1,575,92.8330,0.715874
0.1,576,88.8739,0.726857
